UF,municipality,code,enumeration_area,N,P_1A2,P_6A30,P_ADEQ,P_ALUG100,P_ALVSREV,P_ATE5,P_BANH4OUMAIS,P_BOLSA_FAM,P_CARRO,P_CASADIA,P_CELCOMPINT,P_CELULAR,P_COMP_INT,P_DOUTOR,P_ENERGIA,P_ENSMED,P_ENSSUP,P_FUND,P_GELADEIRA,P_GRAD,P_IDOSO10SM,P_LIXO,P_MAISDE2,P_MAQLAV,P_MAQTVGEL,P_MEST,P_MOTO,P_NEM_MOTO_CARRO,P_OUTROMUNC,P_OUTROSPROG,P_POBREZA,P_PPI_POBREZA,P_REDE_AGUA,P_REDE_ESG,P_SEM_INST,P_SO_CARRO,P_SO_MOTO,P_TUDOADEQ,P_TV,M_DENSMORA,M_RENDDOM,ICE_branco_renda,ICE_edu,ICE_renda,ICE_renda_ppi,ICE_renda_preto
26,11606,2611606,2611606005001,31387.99997091293,5.453580454923213,59.76434069598326,82.1087052085204,.6445576436817646,11.45957243279554,12.54025678645121,.7807580521330237,14.81952792091761,10.86338423483539,95.80407987086801,82.07157790893689,81.76037775410805,85.71254579583183,0,94.50046716665383,14.30905010165588,2.369511657161638,17.97129779151874,89.13471228152048,95.47623563557863,0,90.72838864522055,.5391336046159267,18.57363812305266,17.82457769295434,97.73767943770508,8.57276030437788,83.25845937797567,5.806764925364405,3.100954875117168,56.47425601346185,42.36319108895259,85.51173777232179,58.07472552696709,65.07823253159586,8.168779395055026,5.878155464597512,41.90147111366969,95.54813559807371,.8578794363857014,1313.104153439403,.0015880318,-.62708724,-.092090525,-.14865851,.030496692
26,11606,2611606,2611606005002,46725.99997377396,7.35392565256916,56.06875286321156,91.5814277890604,1.69789744541049,7.853690249612555,11.0311220632866,.4707469139248133,5.30828931950964,33.49598109198269,95.65513365669176,87.60604718117975,90.00173569947947,88.7160989746917,1.817359193228185,99.76631378522143,28.07651898328913,17.68593255110318,12.90786318131723,96.49863771628588,93.78450431395322,1.137064612703398,96.29326476133429,.4458978422917426,45.13866166234948,44.83470197883435,83.09191921871388,7.724938684259541,62.42313116381411,6.099967530462891,3.267328838410322,30.87077516101999,21.11456034181174,83.3838242397178,96.75667827250436,40.77912995999213,29.8519300238695,4.080887616146356,71.41110827797092,98.87117113685235,.5720786709425738,3171.072510141879,.059808053,-.23093197,-.0032272341,-.0014335472,.1086997
26,11606,2611606,2611606005003,53461.0000705719,6.473380498937331,58.41109479079023,91.71855976455845,4.220415139570832,6.947263440815732,5.59381558559835,4.675207502441481,5.011598618875723,47.48362060054205,95.13640707009472,90.37337448680773,89.41557694924995,91.13705517956987,1.238343038130552,99.02329897740856,26.75779927376425,21.14276146021439,12.81182093080133,96.02837327984162,93.08642906835303,1.072031285730191,97.54259850014932,.5257776065263897,53.65956203895621,53.54097234667279,80.05713818711229,10.0939238560386,47.11314411251806,9.216238121734932,3.141926368698478,28.15753054601373,19.40335949184373,89.67093236860819,81.43313654582016,39.06635895109503,42.79293370782398,5.403236963320524,64.86484510242008,97.61838584090583,.5547327855310868,4966.916344437748,.079359792,-.17923598,-.0023985291,-.0023167885,.11473144
26,11606,2611606,2611606005004,29012.00006771088,9.019393591006519,55.85056485288078,85.36333991505671,0,9.452345210593194,6.572391954978229,.4850195837207139,9.375577786704525,25.58651383442339,95.14517006173264,71.13739895867184,88.789687177632,72.06661197124049,0,97.251045590383,25.35087183932774,6.802337791305035,13.93004372584983,93.1336260662647,94.10717728314921,.2669392561074346,95.76635243138298,1.334588835015893,36.97436240618117,36.45329489954747,93.59851227054605,10.72445731260814,66.98007426748518,6.644454500928987,3.566170475096442,41.23417319642613,31.05990411859239,96.14432266680524,67.0806121226633,53.29335118658491,22.29546840826515,7.433411886449903,58.23642582981847,94.78093238722067,.7240461214823881,1971.935474900529,.033745252,-.46491012,-.015195977,-.080542803,.039780103
26,11606,2611606,2611606005005,43528.99999046326,9.012895467458293,48.21907228470081,89.83648999856086,0,8.893758250633255,4.216462280601263,.2989043830893934,9.397478411665361,14.30727905462845,95.79359587660292,69.6886022167746,87.36456420301693,71.4540918415878,1.59104261547327,98.71148547535995,22.04244797630963,3.50885759544326,16.00216945316788,95.80900938162813,95.81670863553882,0,94.92869220121065,.6736082956194878,28.68970654599252,28.52581724218908,96.58210079760465,13.19082344634808,76.9891073803592,6.279721832834184,1.708127863821574,51.05015311746683,38.51389803312486,97.8409863091656,28.03216437459923,58.14820846280782,9.820069256238639,8.703613647958264,24.29735097684897,97.87824464874575,.7394891892254236,1500.240325834602,.025270609,-.54639351,-.0010791258,-.082609959,.04268143
26,11606,2611606,2611606005006,31284.99995422363,9.805475152097642,49.14380541304126,85.15665031736717,0,11.64854175876826,6.301778717897832,1.871338207274675,8.439492460456677,28.48774332087487,96.35291672311723,80.32325736712664,90.64662538003176,82.125025219284,.8041013963520527,98.98210861720145,29.41094748384785,7.450517412507907,15.77496852260083,96.56771282898262,97.44365583173931,0,93.71921577258036,.7191458600573242,39.31278046220541,39.12705772090703,92.68003397155553,14.93296794360504,61.39986176276579,10.01064415322617,1.724329416174442,38.71299216116313,27.05454762035515,96.51288621826097,24.17139300378039,47.19015318260062,23.66716640535742,10.11239102808759,19.28283842280507,98.13265184639022,.6510022584843682,1951.461178936064,.039657511,-.39739636,-.0025835386,-.057393569,.063745014
26,11606,2611606,2611606005007,31041.99998426437,15.61570811027195,37.86232524435036,89.3317654117709,0,9.69022368080914,1.900233258493245,0,11.67850980418734,14.21663619985338,96.99961021542549,71.66882320307195,83.48869796318468,75.38460502400994,0,98.79604851303156,21.47693553997669,1.931476022582501,16.69286990363616,95.75366731442045,100.000000721775,0,89.22278918616939,.8647937793284655,27.5983296072809,27.5983296072809,98.0685237198486,10.3890221362235,77.85222689853981,5.373612616676837,2.343689740519039,50.11167574848514,36.04760185990017,96.67846348311286,21.52482966193929,59.34869631746551,11.75875082262792,7.931136758998036,17.31454668333754,98.68682825181168,.7397445694368798,1541.551707085222,-.0074198977,-.5741722,-.044846285,-.10553147,.035215911
26,11606,2611606,2611606005008,32904.99998426437,20.96177903586067,26.61235699197277,81.59242030233145,0,17.46206138050184,4.310625977814198,0,11.7432253959123,12.85097268410027,96.00889355060644,69.98357274569571,87.82405477249995,69.98357274569571,0,99.65131359640509,20.85617368284147,1.164412824437022,15.74718619231135,94.7752314270474,99.99999701976776,0,94.91958211874589,3.060669335536659,25.90672003570944,25.90672003570944,98.83558677393012,9.815392503514886,79.45280999410897,5.813741346355528,1.981545850867406,51.69558493653312,38.36691574542783,94.61973535362631,15.44259808142669,61.54269151447807,10.73179711820558,7.696216937620193,11.31647118600085,97.92362308362499,.754522459465079,1243.182941563427,-.012548048,-.60378277,-.054730028,-.14172924,.016259089
26,11606,2611606,2611606005009,38820.00000190735,6.876007636310533,56.89906451152638,97.51363131799735,23.7511306302622,1.97877389146015,6.144663557643071,14.06415838282555,.3456154103332665,81.09383154514944,92.98499066208024,95.19619759521447,97.3178293555975,95.57598197716288,2.974385279230773,100.0000001629815,25.24037898474489,49.25937229418196,6.794628079296672,99.85175952315331,88.00763004255714,5.131940290448256,95.52523175952956,.9190054843202233,82.32775084470632,82.17951020487817,55.18283022793185,4.760162404272705,18.12175364611903,9.939727412711363,3.821362039161613,5.286707259074319,3.344709369412158,53.54478187655332,97.93051858432591,18.34187857020879,77.11808411258971,.7844149717129767,48.85895218612859,99.85210370505229,.3620575087552425,13350.38583286852,.04216164,.30917493,.0062954389,.08886613,.15965931
26,11606,2611606,2611606005010,26405.00006055832,4.964481818024069,57.01194068533368,97.41947330185212,23.5087604727596,1.790768152568489,5.549309845810058,21.71769561246037,1.66709340410307,76.32663089898415,95.71591600979446,94.36271972954273,95.44554557069205,95.35099864006042,2.685317571740597,100.0000002270099,26.89994490938261,40.21791025297716,8.654257204034366,99.11615894525312,89.93757796706632,3.585798061976675,98.71318473597057,1.07380134286359,79.08609860460274,78.7541773810517,62.74900775970309,7.807610387681052,21.37794536538422,7.532930554589257,4.220309053198434,7.446605928998906,4.016363993287086,64.31579270283692,92.98114966368303,24.1170937246352,70.8144444739446,2.295423962641507,57.8661852166988,98.87813960085623,.4000638829456875,11421.30028250068,.071654849,.16100816,-.00070152781,.053730968,.1501845
