UF,municipality,code,enumeration_area,N,P_1A2,P_6A30,P_ADEQ,P_ALUG100,P_ALVSREV,P_ATE5,P_BANH4OUMAIS,P_BOLSA_FAM,P_CARRO,P_CASADIA,P_CELCOMPINT,P_CELULAR,P_COMP_INT,P_DOUTOR,P_ENERGIA,P_ENSMED,P_ENSSUP,P_FUND,P_GELADEIRA,P_GRAD,P_IDOSO10SM,P_LIXO,P_MAISDE2,P_MAQLAV,P_MAQTVGEL,P_MEST,P_MOTO,P_NEM_MOTO_CARRO,P_OUTROMUNC,P_OUTROSPROG,P_POBREZA,P_PPI_POBREZA,P_REDE_AGUA,P_REDE_ESG,P_SEM_INST,P_SO_CARRO,P_SO_MOTO,P_TUDOADEQ,P_TV,M_DENSMORA,M_RENDDOM,ICE_branco_renda,ICE_edu,ICE_renda,ICE_renda_ppi,ICE_renda_preto
33,04557,3304557,3304557005001,48664.00008106232,7.913386943982914,39.89889718941413,92.01158629148267,0,6.46155095892027,5.341422121273354,.2018246741499752,5.068566752015613,12.64490505564027,97.74462748900987,82.12058203062043,87.00839157681912,83.17470190813765,3.247489035129547,97.66041843104176,17.70975254185032,2.430910090333782,17.55477833066834,96.69545339420438,93.01387807354331,.1741176383802667,71.45495899603702,.5374284228309989,62.5870457093697,61.84951547766104,97.65997305075871,5.06898105959408,83.50508394069038,.3615821362473071,2.632619385258295,33.03531429264694,20.3505301324185,99.66388194006868,98.88458193745464,61.28191889438313,11.4259343885351,3.850010392488912,68.55373304570094,97.77486835955642,.7342363604402635,1722.914187849499,.030171752,-.5885101,.014890975,-.005424079,.086885683
33,04557,3304557,3304557005002,32667.00001192093,10.32338388904464,49.82440263556782,96.04141573072411,55.9108488028869,3.340282643330283,3.716781450202689,5.721240240382031,.2858617895981297,56.10020066378638,96.98196156095946,93.97413650585804,95.28074634436052,94.65157805534545,8.428246976109222,99.99999961291905,22.5463487295201,42.93171051540412,9.272176123340614,99.66183354554232,79.12964101415128,5.25128664157819,84.71161310444586,.5738080013543367,89.83821108995471,89.1764340485679,62.40990060614422,5.703960530809127,42.49329669983126,2.992907393490896,2.743251377250999,4.716570329037495,2.944478817516938,99.58260362909641,99.74042831163388,24.85895592544694,51.80274238227867,1.406502249301411,83.37887641391717,98.81775553512853,.4256848443474155,10033.72845517844,.077734292,.18072754,-.00056102115,.086145423,.15187331
33,04557,3304557,3304557005003,20065.00009202957,5.163739493582398,63.14842351712286,99.15998534270329,59.51457405462861,.8400145219638944,6.387718650512397,3.912999684689566,.0551891047507524,57.26471515736193,94.46138271450764,94.87772549327929,94.25680825224845,95.76226198405493,4.277960263425484,99.99999986466719,23.26776835543569,52.03027906245552,6.993017479544505,99.99999986466719,83.17519616684876,6.6556605277583,96.68865243875189,.9512427262961864,88.32570016238606,88.01850280578947,54.49788114638068,2.979746997152688,41.97095796698704,5.227569769340334,3.622165839988156,2.853053010767326,.6251332641113549,99.99999986466719,99.99999986466719,17.66137721861014,55.04929490052746,.7643267403182108,95.84863791678799,99.6928025080706,.3570922901417362,11379.14017370343,.040885322,.34368902,.00056556379,.1420359,.16866885
33,04557,3304557,3304557005004,30600.0000038147,26.79043490206823,32.57495234720409,87.22717822529376,0,12.13384513976052,4.109433118719608,.5184008390642703,3.068962803808972,34.93171688169241,95.81462496425956,72.14595931582153,84.78434882126749,76.30079991649836,0,99.24472605343908,30.00334641837981,5.958332947921008,20.12319208006375,97.68041134811938,96.4142213575542,0,85.99741236539558,10.99974776152521,71.59280633786693,71.34698651498184,94.25531979068182,6.096443114802241,62.69730079220608,2.701595867983997,2.925335097825155,23.40399611566681,15.90711508470122,99.6066553867422,79.10338072106242,43.49303218186833,31.20625613955781,2.37098237266764,62.2831396991387,98.72170308372006,.6700080053415149,2273.261846743524,.02936572,-.37534699,.0010213259,-.04261237,.059653975
33,04557,3304557,3304557005005,32805.9999281168,28.95730728923809,29.25602213799721,82.3495120042935,0,16.79742240230553,5.247750505805016,0,5.603259347844869,29.78473627881613,92.2824841865804,77.29466712626163,82.79388612718321,79.30661622958723,0,98.38995168101974,24.8010091821925,3.251562471268699,19.93693207004981,99.06616580556147,99.99999469146132,.0647464417852461,95.48653711099178,8.822176931425929,67.11706606729422,66.93547839822713,96.74843751381559,5.463869305094704,67.7813825168414,2.273853617953137,1.930068180081435,32.11448803049279,21.43094826315064,98.78934313892387,87.6481213606894,51.50395759374078,26.75474767165724,2.43388069793582,72.10408195387572,99.13944675936364,.7000804045965197,1817.082496676594,.02431703,-.48252395,.00091199094,-.040875368,.060547903
33,04557,3304557,3304557005006,31842.99996566772,33.11992803355679,26.21059814700857,84.34336318750866,0,14.78594895452261,4.112402675673366,1.13288740394637,6.572753784712404,26.6445443907287,95.43582157930359,72.51961822621524,86.80049733375199,73.71920361183584,1.630876958370209,98.30858251661994,24.03801758773625,2.431400782370474,19.26891442708438,98.30766441882588,82.42278499528766,0,93.57915332657285,7.096728403121233,65.18878501956351,64.56947587430477,97.95631851447979,5.933146842289716,71.51436576386914,1.387092866934836,1.873073764727451,35.44409836758859,22.88121622696053,95.94442432862706,89.76148978690617,53.97315049485769,22.55248792353086,1.841090375091881,67.49062942108139,97.26399838691577,.7227764664421557,1750.796760328114,.0074710017,-.51541752,-.0083431518,-.072546549,.040891804
33,04557,3304557,3304557005007,35786.99992656708,25.79706338001415,32.4235352280084,90.20768666523509,0,9.565236396156251,4.301961068995297,0,4.453739890595898,25.92612219741568,93.54333689552732,74.80909472797066,83.28293705708347,78.6197257693857,4.662775993347168,99.68796787434258,25.46651229204144,2.768826874671504,20.12035800726153,99.42916766158305,93.20007944479585,0,97.837206866825,10.83538722014055,66.83929567225277,66.43282072618604,97.29034682968631,4.652405763044953,71.87250012066215,4.052686865907162,1.603915728628635,31.03488605702296,22.29262511245906,99.15661530103534,83.60532019869424,51.55494732316583,23.47509371466003,2.201377280289307,77.09001381881535,98.83355393540114,.7006235627195565,1821.134799244115,.030660659,-.48786122,.0072427443,-.038950611,.055638075
33,04557,3304557,3304557005008,41219.99995970726,30.38262319169007,29.1243507352192,87.6479373750044,0,12.22385682631284,7.421035890001804,.3427715273573995,5.820279460749589,29.15663310559466,92.92921112501062,72.63179355068132,87.80522634333465,73.93485094653443,0,99.01459450775292,26.67455341870664,2.640004924614914,18.61016611510422,98.01495995779987,100.0000047497451,0,95.62751514313277,9.955195203656331,65.42627431044821,65.23773303779308,97.35999511249247,5.562145228032023,68.11586845142301,2.982867771061137,2.82907645450905,32.14918219600804,21.82806073687971,99.5193683396792,84.07669728912879,51.54807805156452,26.32198971696198,2.727501839399338,72.53445746318903,98.5759111790685,.6974262208532309,1809.440897827037,.014484133,-.48908073,-.0027277011,-.055483248,.04942634
33,04557,3304557,3304557005009,28173.00001764297,29.77752333827084,20.74780445545912,82.89847056512372,0,16.62025278201327,8.262662100605667,0,3.972908580908552,29.10147086950019,93.43814067833591,76.74964901671046,88.54537184597575,77.34886512771482,0,98.04867098937393,20.58327624690719,3.455827475409023,21.06675260693009,98.00719682025374,91.3630829192698,0,87.48346168213175,15.99109730450436,65.71408858071663,64.69262161772349,96.84264943571179,4.526033834554255,68.69235583944828,3.287629975238815,2.752033568685874,36.23340464546345,27.16062648396473,98.53823993253172,74.35356011628755,54.50695583240304,26.78161036456004,2.206173329614103,58.58434455949464,98.33607114051119,.6920919327021693,1662.950447285548,.03418719,-.51051128,.00080036343,-.078215607,.042921666
33,04557,3304557,3304557005010,38418.99987244606,28.77068617381155,27.86205914453603,87.48447388643399,0,12.51552565954626,7.970725453924388,.3728565410710871,5.1972074637888,32.9421401838772,93.92098574026022,74.93800756055862,88.1661718362011,77.20584319904447,0,98.54598280508071,24.55985309206881,2.735826589923818,18.67750671008253,98.63924590754323,96.07902290299535,.4087654582690448,94.86261737765744,11.67939623701386,65.39260596618988,65.23776265676133,97.37144432947389,5.621177528519183,64.18828141177073,3.336547588696703,2.207574972999282,26.62146011862205,18.48052228015149,99.44839495001361,86.58362007699907,53.85005393036408,30.19054060569033,2.869577950332314,73.54959988733754,99.65117931133136,.6731046430941205,2108.369835681282,.033149939,-.51114225,-.00070454285,-.046575274,.062220618
